"","playerID","seasons"
"261","bergmda01",18
"262","bergmo01",16
"263","berkmla01",16
"264","bernato01",12
"265","bernhbi01",10
"266","berrada01",11
"267","berrayo01",19
"268","berrera01",12
"269","berroan01",10
"270","berroge01",13
"271","berrych02",12
"272","berryda01",11
"273","berryke01",14
"274","berryse01",12
"275","bertore01",12
"276","beschbo01",11
"277","betande01",10
"278","betanra01",13
"279","betanyu01",10
"280","betemwi01",14
"281","bettshu01",10
"282","bevacku01",17
"283","bibbyji01",14
"284","bicheda01",15
"285","bielemi01",15
"286","bierblo01",13
"287","bigbeca01",11
"288","biggicr01",20
"289","biittla01",15
"290","bilkost01",12
"291","billija01",14
"292","billijo01",11
"293","birddo01",12
"294","bishoma01",12
"295","blackbu02",17
"296","blackch02",12
"297","blackew01",11
"298","blackti01",11
