"","playerID","Player","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PrimaryTeam","PrimaryLg","all_star","gold_glove","lou_gehrig_memorial_award","most_valuable_player","tsn_player_of_the_year","hutch_award","silver_slugger","hank_aaron_award","rookie_of_the_year","baseball_magazine_all_star","tsn_major_league_player_of_the_year","alcs_mvp","all_star_game_mvp","babe_ruth_award","nlcs_mvp","roberto_clemente_award","world_series_mvp","comeback_player_of_the_year","branch_rickey_award","triple_crown","outstanding_dh_award","wein","votedBy","AVG","OBP","1B","SLG","Steroids","nice_guy_awards","war","all_stars","Pos"
"58","berrych02","Charlie Berry",709,2018,196,539,88,29,23,256,13,5,160,196,NA,5,34,NA,NA,"BOS","AL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.267,0.318,399,0.374,"0",0,5.9,0,"C"
"59","berryke01","Ken Berry",1383,4136,422,1053,150,23,58,343,45,46,298,569,31,30,64,17,108,"CHA","AL",1,2,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.255,0.304,822,0.344,"0",0,15.2,1,"CF"
"60","bicheda01","Dante Bichette",1704,6381,934,1906,401,27,274,1141,152,73,355,1078,32,41,5,73,176,"COL","NL",4,0,0,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.299,0.336,1204,0.499,"0",0,5.7,4,"RF"
"61","bigbeca01","Carson Bigbee",1147,4192,629,1205,139,75,17,324,182,NA,344,161,NA,21,109,NA,NA,"PIT","NL",2,0,0,0,0,0,0,0,"0",2,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.287,0.336,974,0.369,"0",0,11.7,0,"LF"
"62","biggicr01","Craig Biggio",2850,10876,1844,3060,668,55,291,1175,414,124,1160,1753,68,285,101,81,150,"HOU","NL",7,4,0,0,0,1,5,0,"0",0,0,0,0,0,0,1,0,0,1,0,NA,"1","BBWAA",0.281,0.36,2046,0.433,"0",3,65.5,7,"2B"
"63","bishoma01","Max Bishop",1338,4494,966,1216,236,35,41,379,43,50,1153,452,NA,31,98,NA,NA,"PHA","AL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.271,0.416,904,0.366,"0",0,38.1,0,"2B"
"64","bladera01","Ray Blades",767,2415,467,726,133,51,50,340,33,NA,331,310,NA,47,53,NA,NA,"SLN","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.301,0.388,492,0.46,"0",0,15.4,0,"LF"
"65","blairpa01","Paul Blair",1947,6042,776,1513,282,55,134,620,171,93,449,877,23,23,108,51,126,"BAL","AL",2,8,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.25,0.297,1042,0.382,"0",0,37.7,2,"CF"
"66","blakeca01","Casey Blake",1265,4500,644,1186,264,18,167,616,36,37,445,1037,37,72,27,47,107,"CLE","AL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.264,0.335,737,0.442,"0",0,24.8,0,"3B"
"67","bluegos01","Ossie Bluege",1867,6440,883,1751,276,67,43,848,140,87,723,515,NA,71,218,NA,NA,"WS1","AL",3,0,0,0,0,0,0,0,"0",2,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.272,0.342,1365,0.356,"0",0,28.5,1,"3B"
