"player","war","all_stars","type","yearID","votedBy","ballots","needed","votes","inducted","category","needed_note"
"willidi02",3.4,0,"position",2008,"Veterans",NA,NA,NA,"Y","Manager",NA
"willite01",122,19,"position",1966,"BBWAA",302,227,282,"Y","Player",NA
"willivi01",-3.8,0,"position",1995,"Veterans",NA,NA,NA,"Y","Player",NA
"wilsoha01",38.7,0,"position",1979,"Veterans",NA,NA,NA,"Y","Player",NA
"winfida01",64.2,12,"position",2001,"BBWAA",515,387,435,"Y","Player",NA
"wrighge01",23.2,0,"position",1937,"Centennial",NA,NA,NA,"Y","Pioneer/Executive",NA
"wynnea01",9.5,9,"position",1972,"BBWAA",396,297,301,"Y","Player",NA
"yastrca01",96.5,18,"position",1989,"BBWAA",447,336,423,"Y","Player",NA
"youngcy01",-2,0,"position",1937,"BBWAA",201,151,153,"Y","Player",NA
"youngro01",32.7,0,"position",1972,"Veterans",NA,NA,NA,"Y","Player",NA
"yountro01",77.4,3,"position",1999,"BBWAA",497,373,385,"Y","Player",NA
